GOLD TO USD SPOT RATE FROM BLOOMBERG,,,,
Date,Open,High,Low,Close
2019-05-02,1276.76,1278.45,1266.35,1270.69
2019-05-01,1283.53,1287.32,1273.04,1276.76
2019-04-30,1279.9,1286.27,1279.72,1283.53
2019-04-29,1287.13,1287.37,1278.14,1279.9
2019-04-26,1277.17,1288.76,1274.42,1286.16
2019-04-25,1275.76,1282.66,1273.39,1277.17
2019-04-24,1272.41,1278.65,1268.83,1275.76
2019-04-23,1274.96,1276.58,1266.42,1272.42
2019-04-22,1275.9,1279.91,1273.9,1274.99
2019-04-19,1275.82,1276.79,1274.48,1275.52
2019-04-18,1273.99,1277.75,1271.26,1275.82
2019-04-17,1276.8,1279.87,1273.12,1273.98
2019-04-16,1287.95,1288.8,1273.02,1276.79
2019-04-15,1290.82,1292.04,1282.59,1287.95
2019-04-12,1292.51,1295.89,1290.15,1290.43
2019-04-11,1307.99,1309.31,1289.73,1292.52
2019-04-10,1304.1,1310.67,1301,1307.99
2019-04-09,1297.48,1306.26,1296.68,1304.1
2019-04-08,1291.9,1303.79,1291.55,1297.48
2019-04-05,1292.21,1294.5,1284.43,1291.76
2019-04-04,1289.93,1294.48,1280.95,1292.21
2019-04-03,1292.46,1294.68,1288.48,1289.93
2019-04-02,1287.72,1292.67,1285.33,1292.46
2019-04-01,1292.48,1297.1,1286.58,1287.72
2019-03-29,1290.42,1299.85,1286.81,1292.38
2019-03-28,1309.55,1312.35,1288.64,1290.42
2019-03-27,1315.71,1319.36,1308.21,1309.55
2019-03-26,1321.9,1323.32,1312.75,1315.71
2019-03-25,1313.5,1324.63,1311.06,1321.9
2019-03-22,1309.31,1315.01,1306.85,1313.68
2019-03-21,1312.53,1320.45,1303.33,1309.36
2019-03-20,1306.56,1317.08,1298.77,1312.53
2019-03-19,1303.71,1310.95,1302.42,1306.56
2019-03-18,1302.58,1306.8,1298.29,1303.71
2019-03-15,1296.15,1306.48,1294.07,1302.4
2019-03-14,1309.1,1310.46,1292.9,1296.17
2019-03-13,1301.54,1311.33,1300.66,1309.12
2019-03-12,1293.35,1302.3,1292.07,1301.58
2019-03-11,1298.01,1299.18,1290.56,1293.35
2019-03-08,1285.61,1300.81,1285.28,1298.3
2019-03-07,1286.34,1289.09,1280.94,1285.61
2019-03-06,1288.01,1291.01,1283.69,1286.36
2019-03-05,1286.76,1289.68,1281.25,1288.01
2019-03-04,1295,1297.11,1282.92,1286.74
2019-03-01,1313.32,1315.28,1290.24,1293.44
2019-02-28,1319.86,1327.35,1312.69,1313.32
2019-02-27,1328.96,1329.95,1317.01,1319.86
2019-02-26,1327.58,1330.25,1323.61,1328.96
2019-02-25,1329.56,1332.68,1325.23,1327.58
2019-02-22,1323.63,1333.13,1321.56,1329.4
2019-02-21,1338.44,1341.6,1321.58,1323.63
2019-02-20,1340.94,1346.8,1336.97,1338.44
2019-02-19,1326.14,1341.86,1322.94,1340.94
2019-02-18,1321.56,1327.71,1320.69,1326.89
2019-02-15,1312.59,1322.64,1311.49,1322.49
2019-02-14,1306.29,1314.41,1302.48,1312.57
2019-02-13,1310.8,1318.24,1305.13,1306.27
2019-02-12,1308.13,1314.85,1306.56,1310.8
2019-02-11,1313.72,1314.95,1303.74,1308.12
2019-02-08,1310.11,1315.71,1307.83,1314.29
2019-02-07,1306.6,1312,1302.85,1310.11
2019-02-06,1315.33,1315.87,1305.83,1306.6
2019-02-05,1312.25,1316.95,1310.8,1315.32
2019-02-04,1318.86,1319.11,1308.73,1312.25
2019-02-01,1321.25,1323.56,1316.24,1317.98
2019-01-31,1319.91,1326.33,1317.51,1321.25
2019-01-30,1311.72,1323.43,1309.1,1319.91
2019-01-29,1303.36,1312.02,1302.01,1311.79
2019-01-28,1303.16,1304.52,1297.71,1303.36
2019-01-25,1281.21,1305.44,1280.03,1305.25
2019-01-24,1282.72,1284.88,1276.86,1281.21
2019-01-23,1285.22,1286.6,1278.75,1282.72
2019-01-22,1280.47,1285.59,1277.5,1285.22
2019-01-21,1282.32,1283.6,1276.82,1280.47
2019-01-18,1292.05,1292.57,1280.47,1282.11
2019-01-17,1293.67,1295.38,1288.82,1292.05
2019-01-16,1289.51,1295.05,1287.99,1293.67
2019-01-15,1291.72,1294.79,1286.85,1289.51
2019-01-14,1287.74,1295.93,1287.65,1291.72
2019-01-11,1286.65,1295.22,1285.84,1290.25
2019-01-10,1293.13,1297.13,1286.18,1286.65
2019-01-09,1285.39,1293.92,1280.19,1293.56
2019-01-08,1289.21,1290.25,1279.49,1285.39
2019-01-07,1286.04,1295.13,1282.71,1289.21
2019-01-04,1294.28,1298.6,1276.74,1286.05
2019-01-03,1284.59,1294.99,1281.55,1294.28
2019-01-02,1282.9,1288.83,1278.75,1284.59
2019-01-01,1282.49,1282.62,1282.49,1282.6
2018-12-31,1279.85,1284.15,1277.52,1282.49
2018-12-28,1275.71,1282.23,1274.31,1280.71
2018-12-27,1267.14,1279.04,1266.65,1275.71
2018-12-26,1268.64,1279.11,1264.39,1267.14
2018-12-25,1269.13,1269.13,1268.54,1268.54
2018-12-24,1257.96,1270.35,1257.96,1269.22
2018-12-21,1259.86,1262.8,1254.03,1256.94
2018-12-20,1243.08,1266.55,1242.81,1259.86
2018-12-19,1249.42,1258.09,1241.82,1243.08
2018-12-18,1245.86,1250.44,1245.19,1249.42
